xflr5 v6.61

Plane Name
T1-10.0 m/s-Panel-Inviscid
QInf  =,   10.000000 ,m/s
Alpha = ,  11.000000
Beta  = ,   0.000�
Phi   = ,   0.000�
Ctrl  = ,   0.000
CL    = ,   1.065963
Cy    = ,  -0.000000
Cd=,   0.040794,ICd=,    0.040794,PCd=,    0.000000
Cl   = ,-2.91178e-16
Cm   =,    -1.21161
ICn=,    0.000000,PCn=,    0.000000
XCP=,    2.493782, YCP=,    0.000000, ZCP=,    0.331451 
XNP=,    0.000000
Bending =, 4096.540595

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
    0.2762,   3.0413, -2.099, 0.844648, 0.000000, 0.027250,-0.333763,-0.075777, 0.0000, 0.0000, 0.3337,4096.5406
    0.8274,   2.9081, -2.300, 0.901026, 0.000000, 0.034979,-0.420876,-0.063701, 0.0000, 0.0000, 0.3162,3506.7917
    1.3753,   2.7757, -2.345, 0.941909, 0.000000, 0.037844,-0.528872,-0.058578, 0.0000, 0.0000, 0.3080,2970.0375
    1.9178,   2.6447, -2.327, 0.977905, 0.000000, 0.039214,-0.654683,-0.056103, 0.0000, 0.0000, 0.3033,2487.1160
    2.4528,   2.5154, -2.277, 1.010338, 0.000000, 0.039777,-0.797644,-0.054888, 0.0000, 0.0000, 0.3003,2057.6898
    2.9781,   2.3885, -2.214, 1.039737, 0.000000, 0.039864,-0.957955,-0.054293, 0.0000, 0.0000, 0.2983,1680.4286
    3.4916,   2.2645, -2.146, 1.066409, 0.000000, 0.039677,-1.136174,-0.053985, 0.0000, 0.0000, 0.2967,1353.1622
    3.9913,   2.1437, -2.080, 1.090525, 0.000000, 0.039361,-1.332865,-0.053799, 0.0000, 0.0000, 0.2955,1073.0327
    4.4753,   2.0268, -2.022, 1.112151, 0.000000, 0.039041,-1.548441,-0.053643, 0.0000, 0.0000, 0.2944,836.6460
    4.9416,   1.9142, -1.975, 1.131219, 0.000000, 0.038811,-1.782915,-0.053448, 0.0000, 0.0000, 0.2935,640.2190
    5.3885,   1.8062, -1.945, 1.147548, 0.000000, 0.038792,-2.035677,-0.053153, 0.0000, 0.0000, 0.2926,479.7192
    5.8140,   1.7034, -1.937, 1.160778, 0.000000, 0.039096,-2.304974,-0.052710, 0.0000, 0.0000, 0.2917,350.9948
    6.2166,   1.6061, -1.958, 1.170333, 0.000000, 0.039857,-2.587554,-0.052036, 0.0000, 0.0000, 0.2908,249.8908
    6.5947,   1.5148, -2.015, 1.175355, 0.000000, 0.041224,-2.877890,-0.051018, 0.0000, 0.0000, 0.2898,172.3511
    6.9468,   1.4297, -2.120, 1.174603, 0.000000, 0.043362,-3.167239,-0.049493, 0.0000, 0.0000, 0.2885,114.5042
    7.2714,   1.3513, -2.283, 1.166296, 0.000000, 0.046379,-3.442463,-0.047218, 0.0000, 0.0000, 0.2869,72.7344
    7.5674,   1.2798, -2.517, 1.148058, 0.000000, 0.050354,-3.684786,-0.043878, 0.0000, 0.0000, 0.2847,43.7360
    7.8334,   1.2155, -2.831, 1.116748, 0.000000, 0.055140,-3.868727,-0.039065, 0.0000, 0.0000, 0.2815,24.5560
    8.0686,   1.1587, -3.233, 1.068540, 0.000000, 0.060285,-3.962059,-0.032386, 0.0000, 0.0000, 0.2768,12.6235
    8.2719,   1.1096, -3.724, 0.999258, 0.000000, 0.064968,-3.928311,-0.023713, 0.0000, 0.0000, 0.2703, 5.7692
    8.4426,   1.0684, -4.308, 0.905058, 0.000000, 0.068116,-3.734165,-0.013559, 0.0000, 0.0000, 0.2615, 2.2355
    8.5799,   1.0352, -5.002, 0.783210, 0.000000, 0.068512,-3.361603,-0.003572, 0.0000, 0.0000, 0.2510, 0.6749
    8.6834,   1.0102, -5.832, 0.632876, 0.000000, 0.064615,-2.829842, 0.002406, 0.0000, 0.0000, 0.2427, 0.1329
    8.7526,   0.9935, -6.820, 0.456873, 0.000000, 0.054626,-2.243754,-0.005657, 0.0000, 0.0000, 0.2593, 0.0102
    8.7873,   0.9851, -9.605, 0.274039, 0.000000, 0.046374,-1.565805, 0.010498, 0.0000, 0.0000, 0.2212, 0.0000
